Experiment,Library_Name,Run,SRA_Sample,Sample_Name,Replicate_Name,dev_stage,replicate,sex,tissue,BioProject,LibraryLayout,SRA_Study,strain
SRX3411662,L110,SRR6311311,SRS2704897,L1_10,L1_10,L1 larval,10,pooled male and female,whole larvae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411661,L111,SRR6311312,SRS2704896,L1_11,L1_11,L1 larval,11,pooled male and female,whole larvae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411660,EP7,SRR6311313,SRS2704895,EPm_7,EPm_7,early pupal,7,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411659,EP8,SRR6311314,SRS2704894,EPm_8,EPm_8,early pupal,8,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411658,EP5,SRR6311315,SRS2704892,EPm_5,EPm_5,early pupal,5,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411656,EP3,SRR6311316,SRS2704890,EPf_3,EPf_3,early pupal,3,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411655,EP4,SRR6311317,SRS2704889,EPf_4,EPf_4,early pupal,4,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411654,L113,SRR6311318,SRS2704888,L1_13,L1_13,L1 larval,13,pooled male and female,whole larvae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411657,EP6,SRR6311319,SRS2704891,EPm_6,EPm_6,early pupal,6,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411653,L114,SRR6311320,SRS2704887,L1_14,L1_14,L1 larval,14,pooled male and female,whole larvae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411652,LP6,SRR6311321,SRS2704886,LPm_6,LPm_6,late pupal,6,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411651,LP5,SRR6311322,SRS2704893,LPm_5,LPm_5,late pupal,5,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411650,LP4,SRR6311323,SRS2704885,LPm_4,LPm_4,late pupal,4,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411649,LP3,SRR6311324,SRS2704884,LPf_3,LPf_3,late pupal,3,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411648,M2,SRR6311325,SRS2704883,MAG_2,MAG_2,adult,2,male,male accessory gland,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411647,M1,SRR6311326,SRS2704882,MAG_1,MAG_1,adult,1,male,male accessory gland,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411646,LP8,SRR6311327,SRS2704881,LPm_8,LPm_8,late pupal,8,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411645,LP7,SRR6311328,SRS2704880,LPm_7,LPm_7,late pupal,7,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411643,M3,SRR6311329,SRS2704878,MAG_3,MAG_3,adult,3,male,male accessory gland,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411642,O1,SRR6311330,SRS2704877,Ov_1,Ov_1,adult,1,female,ovaries,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411641,O2,SRR6311331,SRS2704876,Ov_2,Ov_2,adult,2,female,ovaries,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411644,M4,SRR6311332,SRS2704879,MAG_4,MAG_4,adult,4,male,male accessory gland,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411640,MP5,SRR6311333,SRS2704875,MPm_5,MPm_5,mid pupal,5,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411639,MP6,SRR6311334,SRS2704874,MPm_6,MPm_6,mid pupal,6,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411638,MP7,SRR6311335,SRS2704873,MPm_7,MPm_7,mid pupal,7,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411637,MP8,SRR6311336,SRS2704872,MPm_8,MPm_8,mid pupal,8,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411635,MP2,SRR6311337,SRS2704870,MPf_2,MPf_2,mid pupal,2,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411634,MP3,SRR6311338,SRS2704868,MPf_3,MPf_3,mid pupal,3,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411633,MP4,SRR6311339,SRS2704869,MPm_4,MPm_4,mid pupal,4,male,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411636,MP1,SRR6311340,SRS2704871,MPf_1,MPf_1,mid pupal,1,female,whole pupae,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411577,T1,SRR6311396,SRS2704813,Ts_1,Ts_1,adult,1,male,testes,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411578,T2,SRR6311395,SRS2704812,Ts_2,Ts_2,adult,2,male,testes,PRJNA419241,PAIRED,SRP125355,Liverpool
SRX3411579,O3,SRR6311394,SRS2704811,Ov_3,Ov_3,adult,3,female,ovaries,PRJNA419241,PAIRED,SRP125355,Liverpool
